data,valor
19.10.2020,"379,19"
18.10.2020,"377,81"
17.10.2020,"368,63"
16.10.2020,"365,17"
15.10.2020,"377,45"
14.10.2020,"379,15"
13.10.2020,"381,23"
12.10.2020,"386,68"
11.10.2020,"374,19"
10.10.2020,"370,16"
09.10.2020,"365,28"
08.10.2020,"350,83"
07.10.2020,"341,48"
06.10.2020,"340,61"
05.10.2020,"353,28"
04.10.2020,"352,73"
03.10.2020,"345,6"
02.10.2020,"345,68"
01.10.2020,"353,07"
30.09.2020,"359,39"
29.09.2020,"359,86"
28.09.2020,"354,08"
27.09.2020,"357,23"
26.09.2020,"354,25"
25.09.2020,"351,63"
24.09.2020,"349,17"
23.09.2020,"319,95"
22.09.2020,"344,03"
21.09.2020,"341,3"
20.09.2020,"371,12"
19.09.2020,"385,25"
18.09.2020,"384,2"
17.09.2020,"388,97"
16.09.2020,"364,88"
15.09.2020,"364,01"
14.09.2020,"376,7"
13.09.2020,"365,71"
12.09.2020,"387,98"
11.09.2020,"373,72"
10.09.2020,"367,92"
09.09.2020,"351,1"
08.09.2020,"337,46"
07.09.2020,"352,06"
06.09.2020,"353,49"
05.09.2020,"334,91"
04.09.2020,"385,94"
03.09.2020,"381,97"
02.09.2020,"439,08"
01.09.2020,"475,8"
31.08.2020,"433,9"
30.08.2020,"428,86"
29.08.2020,"398,8"
28.08.2020,"395,11"
27.08.2020,"383,11"
26.08.2020,"385,96"
25.08.2020,"383,2"
24.08.2020,"407,7"
23.08.2020,"390,5"
22.08.2020,"395,56"
21.08.2020,"387,99"
20.08.2020,"416,05"
19.08.2020,"407,44"
18.08.2020,"422,16"
17.08.2020,"430,56"
16.08.2020,"433,63"
15.08.2020,"432,18"
14.08.2020,"438,03"
13.08.2020,"424,31"
12.08.2020,"387,12"
11.08.2020,"379,01"
10.08.2020,"395,53"
09.08.2020,"390,23"
08.08.2020,"396,76"
07.08.2020,"379,57"
06.08.2020,"394,83"
05.08.2020,"400,79"
04.08.2020,"389,62"
03.08.2020,"385,8"
02.08.2020,"372,08"
01.08.2020,"387,14"
31.07.2020,"346,51"
30.07.2020,"334,87"
29.07.2020,"317,82"
28.07.2020,"316,96"
